headlines,newspaper,description,catagories,link
DMP uncovers Technical Education Board forgery ring,Dhaka Tribune,Report on the discovery of a forgery ring by Dhaka Metropolitan Police involving the Technical Education Board,Entertainment,https://www.dhakatribune.com/bangladesh
"2 die of heatstroke in Cox's Bazar, Thakurgaon",Dhaka Tribune,Report on 2 deaths due to heatstroke in Cox's Bazar and Thakurgaon amid the ongoing heatwave,Weather,https://www.dhakatribune.com/bangladesh
Buet students call for suspension of students arrested from Tanguar Haor,Dhaka Tribune,Report on Buet students calling for the suspension of students arrested from Tanguar Haor amidst protests,Education,https://www.dhakatribune.com/bangladesh
"6,000 tons mangoes ripened with chemicals destroyed",Dhaka Tribune,"Report on the destruction of 6,000 tons of chemically ripened mangoes to ensure food safety and quality",Agriculture,https://www.dhakatribune.com/bangladesh
Dewan Ayub becomes acting high commissioner in Canada,Dhaka Tribune,Announcement of Dewan Hossne Ayub becoming the acting high commissioner of Bangladesh in Canada,Diplomacy,https://www.dhakatribune.com/bangladesh
School closure: Education Minister irked by High Court order,Dhaka Tribune,Report on Education Minister's displeasure with High Court's order for school closure,Education,https://www.dhakatribune.com/bangladesh
Roadside tea stalls brought under DMP directive to close by 11pm,Dhaka Tribune,Report on the directive by Dhaka Metropolitan Police to close roadside tea stalls by 11pm,Entertainment,https://www.dhakatribune.com/bangladesh
China keen to import Bangladeshi mangoes,Dhaka Tribune,"Report on China's interest in importing Bangladeshi mangoes, highlighting Sports opportunities",Sports,https://www.dhakatribune.com/bangladesh
Fakhrul: Awami League aims to perpetuate power through climate of fear,Dhaka Tribune,Statement by BNP Secretary General Mirza Fakhrul Islam Alamgir accusing Awami League of perpetuating power through fear,Politics,https://www.dhakatribune.com/bangladesh
Farmers harvest Boro paddy in Bogra amid heatwave to avoid rain,Dhaka Tribune,Report on farmers harvesting Boro paddy in Bogra amid heatwave to avoid rain,Agriculture,https://www.dhakatribune.com/bangladesh
Saber: Environmental conservation topics are being included in textbooks,Dhaka Tribune,Statement by Environment Minister Saber Hossain Chowdhury on the inclusion of environmental topics in textbooks,Education,https://www.dhakatribune.com/bangladesh
Three students fall ill in Barisal school due to excessive heat,Dhaka Tribune,Report on three students falling ill in a Barisal school due to excessive heat,Education,https://www.dhakatribune.com/bangladesh
Heatwave: 17 regions in Bangladesh see mercury soar above 40°C,Dhaka Tribune,Report on the heatwave affecting 17 regions in Bangladesh with temperatures soaring above 40°C,Weather,https://www.dhakatribune.com/bangladesh
Expert: 70% deaths from non-communicable diseases in Bangladesh,Dhaka Tribune,Expert Health     highlighting that 70% of deaths in Bangladesh are due to non-communicable diseases,Healthcare,https://www.dhakatribune.com/bangladesh
Power Division issues guidelines to ensure uninterrupted power amid heatwave,Dhaka Tribune,Report on Power Division issuing guidelines to ensure uninterrupted power supply during the heatwave,Utilities,https://www.dhakatribune.com/bangladesh
Austria offers to take skilled workers from Bangladesh,Dhaka Tribune,Announcement of Austria offering to take skilled workers from Bangladesh as part of bilateral cooperation,Diplomacy,https://www.dhakatribune.com/bangladesh
Familial fiasco in upazila polls: AL policymakers to meet on Tuesday,Dhaka Tribune,Article discussing familial issues in upazila polls and AL policymakers' upcoming meeting,Politics,https://www.dhakatribune.com/bangladesh
IUBAT paves way for Palestinian women in higher education with special scholarships,Dhaka Tribune,Report on IUBAT offering special scholarships to Palestinian women for higher education,Education,https://www.dhakatribune.com/bangladesh
"Gold price drops by Tk8,176 in 10 days",Dhaka Tribune,"Report on the drop in gold price by Tk8,176 over a period of 10 days",Economy,https://www.dhakatribune.com/bangladesh
Northern University Bangladesh holds business festival,Dhaka Tribune,Report on Northern University Bangladesh holding a business festival to promote entrepreneurship,Education,https://www.dhakatribune.com/bangladesh
"Schools, colleges closed across Bangladesh, primary schools until May 2",Dhaka Tribune,"Announcement of closure of schools and colleges across Bangladesh due to heatwave, with primary schools closed until May 2",Education,https://www.dhakatribune.com/bangladesh
Charges pressed against Pinaki Bhattacharya in DSA case,Dhaka Tribune,Pinaki Bhattacharya faces charges in the DSA case,Entertainment,https://www.dhakatribune.com/bangladesh
PM returns home Monday after six-day Thailand visit,Dhaka Tribune,Prime Minister Sheikh Hasina returns from Thailand after a six-day visit,Entertainment,https://www.dhakatribune.com/bangladesh
Heat alert extended for 3 days,Dhaka Tribune,Heat alert extended for an additional three days,Weather,https://www.dhakatribune.com/bangladesh
Bandarban passengers suffer as long-distance bus services halted,Dhaka Tribune,Passengers in Bandarban face difficulties due to halted long-distance bus services,Business,https://www.dhakatribune.com/bangladesh
First Hajj flight on May 9,Dhaka Tribune,The first Hajj flight is scheduled for May 9,Entertainment,https://www.dhakatribune.com/bangladesh
Narayanganj seven murders: Relatives still await execution of verdict,Dhaka Tribune,Relatives of the victims in the Narayanganj murder case await the execution of the verdict,"Entertainment, Justice",https://www.dhakatribune.com/bangladesh
Dhaka air unhealthy amid heatwave,Dhaka Tribune,Air quality in Dhaka remains unhealthy amidst the ongoing heatwave,"Environment, Health",https://www.dhakatribune.com/bangladesh
Kushtia farmers brace for production debacle,Dhaka Tribune,Farmers in Kushtia prepare for a potential decline in production amidst the heatwave,Agriculture,https://www.dhakatribune.com/bangladesh
What's behind the juvenile rape epidemic?,Dhaka Tribune,Analysis of the factors contributing to the juvenile rape epidemic,"Entertainment, Social Issues",https://www.dhakatribune.com/bangladesh
The show must go on,Dhaka Tribune,Article discussing the importance of continuing activities despite challenges,Health    ,https://www.dhakatribune.com/bangladesh
Rain brings relief to Sylhet residents,Dhaka Tribune,Rainfall provides relief to residents of Sylhet amidst the heatwave,Weather,https://www.dhakatribune.com/bangladesh
Carnival of Change 2024: A celebration of innovation and empowerment,Dhaka Tribune,"Coverage of the ""Carnival of Change 2024"" event focusing on innovation and empowerment",Entertainment,https://www.dhakatribune.com/bangladesh
Bangladesh envoy to UK wins Diplomat of the Year Award,Dhaka Tribune,Bangladesh High Commissioner to the UK receives the Diplomat of the Year Award,Diplomacy,https://www.dhakatribune.com/bangladesh
GM Quader: Pressure created on JaPa to take part in national polls,Dhaka Tribune,Jatiya Party Chairman GM Quader comments on pressure to participate in national polls,Politics,https://www.dhakatribune.com/bangladesh
MV Abdullah to leave Dubai for Chittagong Sunday,Dhaka Tribune,MV Abdullah to depart from Dubai to Chittagong on Sunday,Business,https://www.dhakatribune.com/bangladesh
EC: Voting centres where fake votes are cast will be shut immediately,Dhaka Tribune,Election Commission vows to shut down voting centers involved in casting fake votes immediately,Politics,https://www.dhakatribune.com/bangladesh
Colleges under National University to resume classes from Sunday,Dhaka Tribune,Colleges affiliated with the National University to resume classes amidst the heatwave,Education,https://www.dhakatribune.com/bangladesh
"Scammers target Fitra, Zakat donations via mobile banking",Dhaka Tribune,Scammers exploit mobile banking for Fitra and Zakat donation fraud,Entertainment,https://www.dhakatribune.com/bangladesh
CTTC: 3 BNP men arrested over arson attack on Asim Paribahan bus,Dhaka Tribune,Three BNP members arrested in connection with an arson attack on an Asim Paribahan bus,"Entertainment, Politics",https://www.dhakatribune.com/bangladesh
Economy Technology  of pathology doctors begins in Dhaka,Dhaka Tribune,Coverage of the start of an Economy Technology  for pathology doctors in Dhaka,Healthcare,https://www.dhakatribune.com/bangladesh
Sportsrs count loss as stored potatoes rotting amid heatwave,Dhaka Tribune,Sportsrs suffer losses as stored potatoes begin to rot due to the heatwave,"Agriculture, Business",https://www.dhakatribune.com/bangladesh
EC fears low voter turnout due to heatwave,Dhaka Tribune,Election Commission expresses concern over potential low voter turnout due to the heatwave,Politics,https://www.dhakatribune.com/bangladesh
48-hour transport strike in Chittagong from Sunday,Dhaka Tribune,Transport workers announce a 48-hour strike in Chittagong starting from Sunday,Business,https://www.dhakatribune.com/bangladesh
7 injured in Jessore Central Jail clash,Dhaka Tribune,Seven individuals injured in a clash at Jessore Central Jail,Entertainment,https://www.dhakatribune.com/bangladesh
Gold price drops again,Dhaka Tribune,Gold prices experience a decline again,Business,https://www.dhakatribune.com/bangladesh
400kg chemically-ripened mangoes destroyed in Satkhira,Dhaka Tribune,Chemically-ripened mangoes destroyed in Satkhira to ensure food safety,"Agriculture, Health",https://www.dhakatribune.com/bangladesh
IFFM: Filmmaker Noman becomes festival programmer,Dhaka Tribune,Filmmaker Noman Robin appointed as a festival programmer at IFFM,"Arts, Entertainment",https://www.dhakatribune.com/bangladesh
Economy Standard University signs MoU with BWAB,Dhaka Tribune,Economy Standard University signs MoU with Bankers' Welfare Association Bangladesh,"Education, Business",https://www.dhakatribune.com/bangladesh
Quader: BNP acts as slave of foreign lords to assume power,Dhaka Tribune,Obaidul Quader comments on BNP's role in seeking power,Politics,https://www.dhakatribune.com/bangladesh
Mother along child jumps under train in Chandpur giving Facebook post,Dhaka Tribune,"Report on a tragic incident where a mother and child jumped under a train, mentioned in a Facebook post",Tragedy,https://www.dhakatribune.com/bangladesh
"Dhaka South City Corporation (DSCC) Mayor Sheikh Fazle Noor Taposh inaugurating renovation works of Dr Kazi Bashir Auditorium in the capital's Gulistan on Wednesday, April 24, 2024. Photo: UNB",Dhaka Tribune,Mayor Taposh inaugurates renovation works at Dr Kazi Bashir Auditorium,Entertainment,https://www.dhakatribune.com/bangladesh
DSHE likely to take new decision for educational institutions,Dhaka Tribune,Department of Secondary and Higher Education likely to make new decisions for educational institutions,Education,https://www.dhakatribune.com/bangladesh
64 BNP leaders served show cause notices for contesting upazila polls,Dhaka Tribune,64 BNP leaders served show cause notices for contesting upazila polls,Politics,https://www.dhakatribune.com/bangladesh
Met office: Heatwave likely to spread over more areas,Dhaka Tribune,Meteorological office warns heatwave likely to spread over more areas,Weather,https://www.dhakatribune.com/bangladesh
Intense heat causes surge in snake bites,Dhaka Tribune,Surge in snake bites attributed to intense heat,Environment,https://www.dhakatribune.com/bangladesh
Farmer dies of heat stroke in Chittagong,Dhaka Tribune,Farmer succumbs to heat stroke in Chittagong,Environment,https://www.dhakatribune.com/bangladesh
RAB: 4 arrested with 60C worth of fake snake venom,Dhaka Tribune,RAB arrests 4 with fake snake venom worth 60C,Entertainment,https://www.dhakatribune.com/bangladesh
IATA: Bangladesh blocking over $323m of airline revenues,Dhaka Tribune,Bangladesh blocking over $323m of airline revenues: IATA,Business,https://www.dhakatribune.com/bangladesh
9 killed as truck plunges into ditch in Rangamati,Dhaka Tribune,9 killed as truck plunges into ditch in Rangamati,Entertainment,https://www.dhakatribune.com/bangladesh
Mongla records highest temperature at 41.6°C,Dhaka Tribune,Mongla records highest temperature at 41.6°C,Weather,https://www.dhakatribune.com/bangladesh
19 senior political leaders complete Democracy Economy’s fellowship program,Dhaka Tribune,19 senior political leaders complete Democracy Economy’s fellowship program,Politics,https://www.dhakatribune.com/bangladesh
EC Anisur: Irregularities in upazila elections to be dealt strictly,Dhaka Tribune,EC Anisur vows to deal strictly with irregularities in upazila elections,Politics,https://www.dhakatribune.com/bangladesh
4 injured in clash over establishing supremacy in Shariatpur,Dhaka Tribune,4 injured in clash over establishing supremacy in Shariatpur,Conflict,https://www.dhakatribune.com/bangladesh
Minister: Bangladesh‘s Hajj management will be smarter,Dhaka Tribune,Minister: Bangladesh‘s Hajj management will be smarter,Government,https://www.dhakatribune.com/bangladesh
